FirstName,LastName,PhoneNumber,Sex,Age
Elsa,Larsson,123456789,Female,10
Olle,Lundqvist,987654321,Male,14
Anna,Svensson,555666777,Female,18
Lukas,Andersson,999888777,Male,12
Isabella,Ekström,111222333,Female,15
Viktor,Holm,444555666,Male,13
Alice,Persson,777888999,Female,16
Oscar,Johansson,222333444,Male,11
Emilia,Nyström,888999000,Female,17
Liam,Sjöberg,333444555,Male,9
Ella,Gustafsson,666777888,Female,14
Albin,Lindberg,555111222,Male,10
Wilma,Bergström,333222111,Female,13
Noah,Löfgren,111555444,Male,12
Linnea,Mårtensson,666999888,Female,16
Theo,Nilsson,444999333,Male,11
Maja,Andersson,222777111,Female,15
Alexander,Sjöström,999333222,Male,14
