First Name,Last Name,Phone Number,Sex,Age,Camper,Counselor,NextOfKin
Elsa,Larsson,123456789,Female,10,1,0,0
Olle,Lundqvist,987654321,Male,14,1,0,0
Anna,Svensson,555666777,Female,18,1,0,0
Lukas,Andersson,999888777,Male,12,1,0,0
Isabella,Ekström,111222333,Female,15,1,0,0
Viktor,Holm,444555666,Male,13,1,0,0
Alice,Persson,777888999,Female,16,1,0,0
Oscar,Johansson,222333444,Male,11,1,0,0
Emilia,Nyström,888999000,Female,17,1,0,0
Liam,Sjöberg,333444555,Male,9,1,0,0
Ella,Gustafsson,666777888,Female,14,1,0,0
Albin,Lindberg,555111222,Male,10,1,0,0
Wilma,Bergström,333222111,Female,13,1,0,0
Noah,Löfgren,111555444,Male,12,1,0,0
Linnea,Mårtensson,666999888,Female,15,1,1,0
Theo,Nilsson,444999333,Male,11,1,0,0
Maja,Andersson,222777111,Female,15,1,0,0
Alexander,Sjöström,999333222,Male,14,1,0,0
Klara,Olofsson,444555666,Female,28,0,1,0
Erik,Petersson,777888999,Male,32,0,1,0
Emma,Jonsson,123123123,Female,25,0,1,0
Felix,Åkesson,111222333,Male,40,0,0,1
Iris,Eriksson,444555666,Female,35,0,0,1
Nils,Lindström,999888777,Male,45,0,0,1
Sofia,Carlsson,123123123,Female,50,0,0,1
Creed, Bratton,44442222,Male,77,0,0,1
